wine_id,type,wine_name,country,region,varietal_name,winery,year,grapes_1_name,grapes_2_name,grapes_3_name
28897589,Red,Lemos Touriga Nacional ,portugal,Dão,Red,Lemos,2011,Touriga Nacional,Tinta Roriz,Touriga Franca
61933455,Red,Lemos Dona Santana ,portugal,Dão,Red,Lemos,2013,Touriga Nacional,Tinta Roriz,Touriga Franca
165741716,Red,Niepoort Conciso Tinto ,portugal,Dão,Red,Niepoort,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
156118432,Red,Cabriz Colheita Seleccionada Tinto ,portugal,Dão,Red,Cabriz,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
2940940,Red,Lemos Dona Georgina ,portugal,Dão,Red,Lemos,2010,Touriga Nacional,Tinta Roriz,Touriga Franca
20503325,Red,Dom Bella Pinot Noir ,portugal,Dão,Red,Dom Bella,2013,Touriga Nacional,Tinta Roriz,Touriga Franca
162177241,Red,Quinta da Pellada Baga Tinto ,portugal,Dão,Red,Quinta da Pellada,2017,Touriga Nacional,Tinta Roriz,Touriga Franca
18340112,Red,Lemos Touriga Nacional ,portugal,Dão,Red,Lemos,2013,Touriga Nacional,Tinta Roriz,Touriga Franca
3898992,Red,Lemos Dona Santana ,portugal,Dão,Red,Lemos,2006,Touriga Nacional,Tinta Roriz,Touriga Franca
156238853,Red,Quinta da Pellada Pape ,portugal,Dão,Red,Quinta da Pellada,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
160891403,Red,Quinta da Pellada Quinta de Saes Tinto ,portugal,Dão,Red,Quinta da Pellada,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
145786080,Red,Quinta da Pellada Tinto ,portugal,Dão,Red,Quinta da Pellada,2016,Touriga Nacional,Tinta Roriz,Touriga Franca
165175237,Red,Taboadella Grande Villae Tinto ,portugal,Dão,Red,Taboadella,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
2757856,Red,Lemos Dona Georgina ,portugal,Dão,Red,Lemos,2008,Touriga Nacional,Tinta Roriz,Touriga Franca
159775461,Red,Casa da Passarella Villa Oliveira Vinha das Pedras Altas ,portugal,Dão,Red,Casa da Passarella,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
163994277,Red,Casa de Mouraz Chibu ,portugal,Dão,Red,Casa de Mouraz,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
91125947,Red,Dom Bella Dão Tinto ,portugal,Dão,Red,Dom Bella,2016,Touriga Nacional,Tinta Roriz,Touriga Franca
166075436,Red,Antonio Madeira Tinto ,portugal,Dão,Red,Antonio Madeira,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
156984733,Red,Quinta da Pellada Álvaro Castro Tinto ,portugal,Dão,Red,Quinta da Pellada,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
34324352,Red,Quinta da Falorca Garrafeira Old Vines ,portugal,Dão,Red,Quinta da Falorca,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
149874621,Red,Casa da Passarella Villa Oliveira Tinto ,portugal,Dão,Red,Casa da Passarella,2016,Touriga Nacional,Tinta Roriz,Touriga Franca
25689486,Red,Niepoort Doda ,portugal,Dão,Red,Niepoort,2013,Touriga Nacional,Tinta Roriz,Touriga Franca
168358613,Red,Textura Pretexto ,portugal,Dão,Red,Textura,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
156438285,Red,Niepoort Dão Rótulo Tinto ,portugal,Dão,Red,Niepoort,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
155874450,Red,Casa de Cello Quinta da Vegia Superior ,portugal,Dão,Red,Casa de Cello,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
3199750,Red,Niepoort Doda ,portugal,Dão,Red,Niepoort,2007,Touriga Nacional,Tinta Roriz,Touriga Franca
162324168,Red,Cabral de Almeida & Fonseca Jardim de Granito Touriga Nacional ,portugal,Dão,Red,Cabral de Almeida & Fonseca,2017,Touriga Nacional,Tinta Roriz,Touriga Franca
2312436,Red,Quinta da Falorca T-nac ,portugal,Dão,Red,Quinta da Falorca,2010,Touriga Nacional,Tinta Roriz,Touriga Franca
160750013,Red,Cabral de Almeida & Fonseca Jardim de Granito Terroir Blend ,portugal,Dão,Red,Cabral de Almeida & Fonseca,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
15526694,Red,Carlos Lucas 20 Anos ,portugal,Dão,Red,Carlos Lucas,2012,Touriga Nacional,Tinta Roriz,Touriga Franca
158936421,Red,Quinta do Covao Reserva Touriga Nacional ,portugal,Dão,Red,Quinta do Covao,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
33351828,Red,Quinta da Pellada Alfrocheiro ,portugal,Dão,Red,Quinta da Pellada,2013,Touriga Nacional,Tinta Roriz,Touriga Franca
2015638,Red,Paco de Santar Vinha do Contador Dão Tinto ,portugal,Dão,Red,Paco de Santar,2009,Touriga Nacional,Tinta Roriz,Touriga Franca
19351335,Red,Casa de Santar Dão Reserva ,portugal,Dão,Red,Casa de Santar,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
167676049,Red,Taboadella Villae Tinto ,portugal,Dão,Red,Taboadella,2020,Touriga Nacional,Tinta Roriz,Touriga Franca
4616738,Red,Quinta de Pinhancos Reserva ,portugal,Dão,Red,Quinta de Pinhancos,2013,Touriga Nacional,Tinta Roriz,Touriga Franca
170429045,Red,Textura Textura da Estrela Tinto ,portugal,Dão,Red,Textura,2020,Touriga Nacional,Tinta Roriz,Touriga Franca
149644080,Red,Casa de Santar Nobre Tinto ,portugal,Dão,Red,Casa de Santar,2013,Touriga Nacional,Tinta Roriz,Touriga Franca
151171145,Red,Quinta das Camelias Garrafeira ,portugal,Dão,Red,Quinta das Camelias,2012,Touriga Nacional,Tinta Roriz,Touriga Franca
163279353,Red,Niepoort Conciso Tinto ,portugal,Dão,Red,Niepoort,2017,Touriga Nacional,Tinta Roriz,Touriga Franca
161133810,Red,Quinta dos Carvalhais Mélange à 3 Tinto ,portugal,Dão,Red,Quinta dos Carvalhais,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
32416527,Red,Quinta das Marias Garrafeira ,portugal,Dão,Red,Quinta das Marias,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
163602579,Red,Niepoort Conciso Tinto ,portugal,Dão,Red,Niepoort,2016,Touriga Nacional,Tinta Roriz,Touriga Franca
4651959,Red,Lemos Dona Georgina ,portugal,Dão,Red,Lemos,2012,Touriga Nacional,Tinta Roriz,Touriga Franca
26551537,Red,Quinta da Alameda Reserva Especial Tinto ,portugal,Dão,Red,Quinta da Alameda,2012,Touriga Nacional,Tinta Roriz,Touriga Franca
4023730,Red,Lemos Dona Santana ,portugal,Dão,Red,Lemos,2005,Touriga Nacional,Tinta Roriz,Touriga Franca
165574162,Red,Textura Pura ,portugal,Dão,Red,Textura,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
36738732,Red,Quinta da Pellada Pape ,portugal,Dão,Red,Quinta da Pellada,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
168358494,Red,Textura Pura ,portugal,Dão,Red,Textura,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
165488637,Red,Taboadella Grande Villae Tinto ,portugal,Dão,Red,Taboadella,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
165624199,Red,Antonio Madeira Vinhas Velhas ,portugal,Dão,Red,Antonio Madeira,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
144850055,Red,Mira do Ó Druida ,portugal,Dão,Red,Mira do Ó,2016,Touriga Nacional,Tinta Roriz,Touriga Franca
165127234,Red,Taboadella Reserva Alfrocheiro ,portugal,Dão,Red,Taboadella,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
154954678,Red,Casa de Santar Vinha dos Amores Touriga Nacional ,portugal,Dão,Red,Casa de Santar,2014,Touriga Nacional,Tinta Roriz,Touriga Franca
163841858,Red,Antonio Madeira Vinhas Velhas ,portugal,Dão,Red,Antonio Madeira,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
162741495,Red,Antonio Madeira A Palheira ,portugal,Dão,Red,Antonio Madeira,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
169643599,Red,Santar Vila Jardim Reserva ,portugal,Dão,Red,Santar Vila Jardim,2017,Touriga Nacional,Tinta Roriz,Touriga Franca
167360680,Red,Taboadella Reserva Jaen ,portugal,Dão,Red,Taboadella,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
168186356,Red,Taboadella Reserva Touriga Nacional ,portugal,Dão,Red,Taboadella,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
164588887,Red,Quinta do Covao Reserva Touriga Nacional ,portugal,Dão,Red,Quinta do Covao,2017,Touriga Nacional,Tinta Roriz,Touriga Franca
165473956,Red,Textura Textura da Estrela Tinto ,portugal,Dão,Red,Textura,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
159998988,Red,Antonio Madeira A Palheira ,portugal,Dão,Red,Antonio Madeira,2017,Touriga Nacional,Tinta Roriz,Touriga Franca
