wine_id,type,wine_name,country,region,varietal_name,winery,year,grapes_1_name,grapes_2_name,grapes_3_name,tokenized
28897589,red,lemos touriga nacional ,portugal,dão,red,lemos,2011,touriga nacional,tinta roriz,touriga franca,"['lemos', 'touriga', 'nacional']"
61933455,red,lemos dona santana ,portugal,dão,red,lemos,2013,touriga nacional,tinta roriz,touriga franca,"['lemos', 'dona', 'santana']"
165741716,red,niepoort conciso tinto ,portugal,dão,red,niepoort,2018,touriga nacional,tinta roriz,touriga franca,"['niepoort', 'conciso', 'tinto']"
156118432,red,cabriz colheita seleccionada tinto ,portugal,dão,red,cabriz,2018,touriga nacional,tinta roriz,touriga franca,"['cabriz', 'colheita', 'seleccionada', 'tinto']"
2940940,red,lemos dona georgina ,portugal,dão,red,lemos,2010,touriga nacional,tinta roriz,touriga franca,"['lemos', 'dona', 'georgina']"
20503325,red,dom bella pinot noir ,portugal,dão,red,dom bella,2013,touriga nacional,tinta roriz,touriga franca,"['dom', 'bella', 'pinot', 'noir']"
162177241,red,quinta da pellada baga tinto ,portugal,dão,red,quinta da pellada,2017,touriga nacional,tinta roriz,touriga franca,"['quinta', 'da', 'pellada', 'baga', 'tinto']"
18340112,red,lemos touriga nacional ,portugal,dão,red,lemos,2013,touriga nacional,tinta roriz,touriga franca,"['lemos', 'touriga', 'nacional']"
3898992,red,lemos dona santana ,portugal,dão,red,lemos,2006,touriga nacional,tinta roriz,touriga franca,"['lemos', 'dona', 'santana']"
156238853,red,quinta da pellada pape ,portugal,dão,red,quinta da pellada,2018,touriga nacional,tinta roriz,touriga franca,"['quinta', 'da', 'pellada', 'pape']"
160891403,red,quinta da pellada quinta de saes tinto ,portugal,dão,red,quinta da pellada,2019,touriga nacional,tinta roriz,touriga franca,"['quinta', 'da', 'pellada', 'quinta', 'de', 'saes', 'tinto']"
145786080,red,quinta da pellada tinto ,portugal,dão,red,quinta da pellada,2016,touriga nacional,tinta roriz,touriga franca,"['quinta', 'da', 'pellada', 'tinto']"
165175237,red,taboadella grande villae tinto ,portugal,dão,red,taboadella,2018,touriga nacional,tinta roriz,touriga franca,"['taboadella', 'grande', 'villae', 'tinto']"
2757856,red,lemos dona georgina ,portugal,dão,red,lemos,2008,touriga nacional,tinta roriz,touriga franca,"['lemos', 'dona', 'georgina']"
159775461,red,casa da passarella villa oliveira vinha das pedras altas ,portugal,dão,red,casa da passarella,2015,touriga nacional,tinta roriz,touriga franca,"['casa', 'da', 'passarella', 'villa', 'oliveira', 'vinha', 'das', 'pedras', 'altas']"
163994277,red,casa de mouraz chibu ,portugal,dão,red,casa de mouraz,2019,touriga nacional,tinta roriz,touriga franca,"['casa', 'de', 'mouraz', 'chibu']"
91125947,red,dom bella dão tinto ,portugal,dão,red,dom bella,2016,touriga nacional,tinta roriz,touriga franca,"['dom', 'bella', 'dão', 'tinto']"
166075436,red,antonio madeira tinto ,portugal,dão,red,antonio madeira,2019,touriga nacional,tinta roriz,touriga franca,"['antonio', 'madeira', 'tinto']"
156984733,red,quinta da pellada álvaro castro tinto ,portugal,dão,red,quinta da pellada,2018,touriga nacional,tinta roriz,touriga franca,"['quinta', 'da', 'pellada', 'álvaro', 'castro', 'tinto']"
34324352,red,quinta da falorca garrafeira old vines ,portugal,dão,red,quinta da falorca,2015,touriga nacional,tinta roriz,touriga franca,"['quinta', 'da', 'falorca', 'garrafeira', 'old', 'vines']"
149874621,red,casa da passarella villa oliveira tinto ,portugal,dão,red,casa da passarella,2016,touriga nacional,tinta roriz,touriga franca,"['casa', 'da', 'passarella', 'villa', 'oliveira', 'tinto']"
25689486,red,niepoort doda ,portugal,dão,red,niepoort,2013,touriga nacional,tinta roriz,touriga franca,"['niepoort', 'doda']"
168358613,red,textura pretexto ,portugal,dão,red,textura,2019,touriga nacional,tinta roriz,touriga franca,"['textura', 'pretexto']"
156438285,red,niepoort dão rótulo tinto ,portugal,dão,red,niepoort,2018,touriga nacional,tinta roriz,touriga franca,"['niepoort', 'dão', 'rótulo', 'tinto']"
155874450,red,casa de cello quinta da vegia superior ,portugal,dão,red,casa de cello,2015,touriga nacional,tinta roriz,touriga franca,"['casa', 'de', 'cello', 'quinta', 'da', 'vegia', 'superior']"
